category,id,prompt_en,type,prompt_length,class
Anime_Stylization,026,"2girls, multiple girls, outdoors, blurry background, feet out of frame, hands up, looking at viewer, outstretched arm, reaching, reaching towards viewer, standing, grin, light blush, smile, parted lips, teeth, upper teeth only, blue eyes, hair between eyes, pink eyes, alternate hairstyle, black hair, long hair, multicolored hair, streaked hair, two-tone hair, very long hair, white hairband, wing hair ornament, asymmetrical bangs, hair ornament, hair ribbon, high ponytail, low ponytail, ponytail, hairband, hairclip, hand on own chest, mole, mole on neck, armor, black footwear, black jacket, black pants, blue cape, boots, cape, frilled shirt collar, gloves, jacket, knee boots, pants, shoulder armor, side cape, waist cape, white gloves, white pants, yellow cape, belt, belt buckle, black belt, blue ribbon, frilled sleeves, frills, jewelry, long sleeves, ribbon, shoulder sash, earrings, highres, aiguillette, blue sky, blurry, breastplate, buckle, dandelion, day, epaulettes, faulds, flower, gem, green gemstone, light particles, pauldrons, pink flower, pink rose, rose, sash, sky, sparkle, white flower, anime","T, P",long,
Anime_Stylization,027,"Anime, 1girl, solo, looking at viewer, sitting, blush, open mouth, blue eyes, hair between eyes, blue hair, short hair, hair ornament, hoodie, sleeveless hoodie, hood, hood down, sleeveless, flower, hand on own knee, kendama, partially submerged, petals, water, wet","T, P",middle,
Anime_Stylization,028,"multiple girls, anime, nature, holding, holding book, looking down, light blush, smile, pale skin, aqua eyes, blue eyes, green eyes, aqua hair, green hair, long hair, pink hair, very long hair, wavy hair, sidelocks, twintails, clothing cutout, collared dress, dress, green dress, jewelry, long sleeves, shoulder cutout, pink nails, depth of field, highres, ring, blue gemstone, blurry, blurry foreground, book, brooch, foliage, forest, gem, light rays, reading, sunbeam, sunlight, tree, witch","T, P",long,
Anime_Stylization,029,"1girl, horse girl, solo, anime, simple background, facing viewer, animal ears, closed mouth, horse ears, closed eyes, black hair, star hair ornament, ahoge, hair ornament, breasts, collarbone, school uniform, own hands clasped, own hands together, star (symbol)","T, P",middle,
Anime_Stylization,030,"1girl, solo, holding, holding plate, looking at viewer, wading, smile, animal ears, cetacean tail, fish tail, tail, purple eyes, black hair, grey hair, long hair, multicolored hair, streaked hair, very long hair, ahoge, heart ahoge, sidelocks, large breasts, breasts, cleavage, navel, bikini, blue bikini, swimsuit, belt collar, blue collar, collar, halterneck, absurdres, highres, :3, blue sky, body markings, cloud, facial mark, fins, fish, heart, plate, shrimp, sky, water","T, P",long,
Anime_Stylization,031,"1girl, solo, gradient background, white background, mouth hold, grey eyes, blonde hair, long hair, covered navel, black bodysuit, bodysuit, garrison cap, grey jacket, hat, jacket, collar, metal collar, absurdres, anime, black hat","T, P",middle,
Anime_Stylization,032,"1girl, anime, holding, holding broom, looking at another, open mouth, red eyes, white hair, braid, low twin braids, twin braids, black socks, brown footwear, capelet, dress, hat, red capelet, red scarf, scarf, socks, white dress, witch hat, red ribbon, ribbon, highres, broom, door, jack-o'-lantern, table, red hat","T, P",middle,
Anime_Stylization,033,"1boy, solo, anime, black background, male focus, carrying, carrying under arm, holding, holding clipboard, looking at viewer, standing, closed mouth, gradient hair, leaf hair ornament, long hair, multicolored hair, pink hair, tassel hair ornament, white hair, hair ornament, parted bangs, alternate costume, black coat, coat, collared shirt, diagonal-striped clothes, shirt, striped clothes, trench coat, white shirt, belt, belt buckle, black belt, diagonal-striped necktie, long sleeves, necktie, pink necktie, tassel, absurdres, highres, border, buckle, buttons, camellia, clipboard, corsage, double-breasted, flower, frown, head tilt, headset, lapels, notched lapels, pillarboxed, pink border, white flower, adjusting headset","T, P",long,
Anime_Stylization,034,"1girl, solo, looking at viewer, ear piercing, orange eyes, eyewear on head, red-tinted eyewear, tinted eyewear, blonde hair, medium hair, sidelocks, twintails, large breasts, breasts, armpit crease, navel, piercing, black gloves, black skirt, fingerless gloves, gloves, skirt, sunglasses, bare shoulders, collar, red collar, absurdres, highres, weapon, biting, flamethrower, miniskirt, stomach, biting glove, burnice white, anime","T, P",middle,
Anime_Stylization,035,"Anime, 1girl, solo, looking at viewer, sitting, smile, green eyes, long hair, purple hair, very long hair, hair intakes, large breasts, breasts, dress, gloves, strapless dress, white gloves, bare shoulders, choker, detached sleeves, purple choker, short sleeves, absurdres, head wings, highres, wings, car interior, strapless","T, P",middle,
Anime_Stylization,036,"2boys, multiple boys, male focus, fighting stance, looking at viewer, outstretched arm, clenched teeth, mouth mask, teeth, red eyes, glasses, round eyewear, short hair, white hair, black jacket, black pants, jacket, mask, pants, school uniform, torn clothes, long sleeves, black nails, absurdres, highres, alternate form, broken, broken chain, buttons, chain, cuffs, dust cloud, facial mark, open hand, anime","T, P",middle,
Anime_Stylization,037,"2girls, multiple girls, anime, indoors, heterochromia, looking at another, looking at viewer, light blush, smile, closed mouth, open mouth, pointy ears, blue eyes, green eyes, hair between eyes, blue hair, gradient hair, green hair, long hair, multicolored hair, streaked hair, white hair, hair ornament, ponytail, sidelocks, large breasts, breasts, hand on another's thigh, alternate costume, black shorts, blue hoodie, blue shirt, dress, green dress, hoodie, shirt, shorts, animal hood, hood, absurdres, highres, building, contemporary, night, night sky, sky, window","T, P",long,
Anime_Stylization,038,"1girl, solo, anime, cowboy shot, reaching, reaching towards viewer, blush, green eyes, medium hair, pink hair, blunt bangs, braid, braided bun, hair bun, hair ornament, single side bun, swept bangs, hairclip, medium breasts, breasts, black capelet, black gloves, capelet, collared shirt, fingerless gloves, fishnet pantyhose, frilled gloves, frilled shirt, gloves, hat, pantyhose, pink shirt, pink skirt, shirt, side cape, skirt, skirt set, black bow, black bowtie, bow, bowtie, fishnets, frills, puffy short sleeves, puffy sleeves, short sleeves, absurdres, highres, beret, half updo, black hat","T, P",long,
Anime_Stylization,039,"1girl, solo, full body, holding, looking at viewer, blush, smile, open mouth, blue eyes, hair between eyes, red hair, short hair, ahoge, double bun, hair bun, ass, black jacket, black socks, collared shirt, jacket, open clothes, open jacket, pleated skirt, shirt, shoes, skirt, socks, white shirt, white skirt, blue necktie, halo, long sleeves, necktie, red halo, absurdres, anime, paintbrush","T, P",middle,
Anime_Stylization,040,"Anime, 1girl, solo, cowboy shot, holding, holding bottle, looking at viewer, standing, blush, pointy ears, tongue, tongue out, hair between eyes, purple eyes, black hair, grey hair, short hair, hair ornament, large breasts, breasts, chest harness, navel, black jacket, brown pantyhose, collared shirt, hat, jacket, micro shorts, open clothes, open jacket, pantyhose, shirt, shorts, sleeveless shirt, witch hat, belt, black belt, long sleeves, necktie, off shoulder, puffy long sleeves, puffy sleeves, red necktie, sleeveless, absurdres, highres, bottle, crop top, day, elf, harness, midriff, black hat","T, P",long,
Anime_Stylization,041,"2boys, multiple boys, anime, from side, male focus, upper body, curly eyebrows, blonde hair, green hair, short hair, bruise, biting clothes, shirt, torn clothes, torn shirt, white shirt, bandana, biting, cigarette, couple, hug, hug from behind, injury, sheath, sheathed, sideburns, toned, toned male","T, P",middle,
Anime_Stylization,042,"2girls, multiple girls, anime, simple background, white background, upper body, hand up, looking at another, smile, horns, open mouth, brown eyes, closed eyes, hair between eyes, blonde hair, grey hair, long hair, collarbone, shirt, white shirt, bare shoulders, black choker, choker, halterneck, long sleeves, wing collar, absurdres, highres, arm strap, bare arms, camisole, criss-cross halter, spaghetti strap, anime","T, P",middle,
Anime_Stylization,043,"2boys, multiple boys, male focus, upper body, holding, holding scissors, looking back, smile, blue eyes, purple eyes, blonde hair, pink hair, black jacket, blue vest, hat, jacket, open clothes, open jacket, top hat, vest, white jacket, jewelry, earrings, ascot, epaulettes, gears, scissors, thread, waistcoat, white ascot, anime","T, P",middle,
Anime_Stylization,044,"1boy, 1girl, anime, solo focus, covering breasts, covering privates, looking at viewer, blush, animal ears, fake animal ears, open mouth, pointy ears, rabbit ears, wavy mouth, grey eyes, hair ribbon, sidelocks, breasts, covered navel, thigh strap, black leotard, leotard, see-through leotard, bare shoulders, detached collar, jewelry, ribbon, ribbon bondage, absurdres, earrings, highres, bound, playboy bunny, wrist cuffs, see-through clothes","T, P",middle,
Anime_Stylization,045,"Anime, 1boy, solo, grey background, simple background, male focus, upper body, hands up, heart hands, looking at viewer, parted lips, green eyes, hair between eyes, multicolored eyes, orange eyes, yellow eyes, antenna hair, black hair, blonde hair, green hair, multicolored hair, short hair, streaked hair, crossed bangs, parted bangs, aqua gloves, black gloves, black shirt, gloves, shirt, two-tone gloves, jewelry, short sleeves, bracelet, earrings, highres, headband, heart, speech bubble, spoken ellipsis, aqua headband","T, P",long,
Anime_Stylization,046,"1girl, maid, maid headdress, shark girl, solo, holding, holding sword, holding weapon, looking at viewer, sitting, fish tail, shark tail, tail, red eyes, mole under eye, black hair, colored inner hair, multicolored hair, red hair, short hair, two-tone hair, hair ornament, large breasts, breasts, mole, black pantyhose, pantyhose, red nails, anime, highres, sword, weapon, fins, wariza","T, P",middle,
Anime_Stylization,047,"Anime, 1girl, maid headdress, solo, holding, holding condom, leaning to the side, looking at viewer, blush, smile, closed mouth, purple eyes, frilled hairband, gradient hair, long hair, multicolored hair, pink hair, very long hair, white hairband, hairband, large breasts, breasts, cleavage, thighs, clothes lift, dress, dress lift, frilled dress, panties, thighhighs, underwear, white dress, white thighhighs, black bow, blue ribbon, bow, detached sleeves, frills, jewelry, puffy short sleeves, puffy sleeves, ribbon, short sleeves, highres, arm support, ascot, black ascot, brooch, colored tips, condom, condom wrapper, frilled cuffs, kettle, plant, potted plant, signature, wrist cuffs","T, P",long,
Anime_Stylization,048,"1girl, solo, anime, flag background, two-tone background, cowboy shot, from behind, looking at viewer, looking back, standing, brown eyes, brown hair, short hair, dress, red shirt, sailor shirt, shirt, white dress, grey sailor collar, sailor collar, adapted costume, headgear, republic of china flag, sun","T, P",middle,
Anime_Stylization,049,Figure with vibrant orange hair and intricate tattoo. Rendered entirely in a style reminiscent of fauvism.,NP,short,fauvism
Anime_Stylization,050,A character with bright crimson eyes and wildly spiky jet-black hair holds an intricately detailed skull in their hands. This scene is conveyed through a watercolor style.,NP,short,watercolor
Anime_Stylization,051,"A battle-hardened male warrior stands tall, his blood-drenched face and determined eyes reflecting fierce resolve. He grips an intricately decorated sword, its hilt gleaming in the dim light. The Baroque style fills the scene, with dramatic lighting casting deep shadows on his worn features and intricate armor textures.",NP,middle,Baroque
Anime_Stylization,052,A smiling figure dressed in a vibrant blue outfit holds a sunny demeanor. One eye is playfully shut. The entire scene is depicted in pointillism style.,NP,short,pointillism
Anime_Stylization,053,"A character with vibrant purple-pink hair, bright green skin, and a playful lizard tail smiles wearing a pirate hat in a vibrant illustration style reminiscent of anime.",NP,short,
Anime_Stylization,054,"A young woman with long, dark hair and bright eyes smiles warmly, holding a bouquet of colorful flowers and a diploma in an anime-inspired artistic style.",NP,short,
Anime_Stylization,055,"Rendered entirely in the Rococo style, a young woman in a vibrant yellow kimono stands gracefully before a cascade of elegant, lavender wisteria flowers. Her serene expression complements the captivating scenery around her beautifully detailed attire.",NP,middle,Rococo
Anime_Stylization,056,"Anime character with bright aqua hair tied in a ponytail, sparkling green eyes, happily smiling, wearing a crisp white top and forest green shorts. Digital art and anime styles.",NP,short,
Anime_Stylization,057,"An artistic depiction infused with anime elements vividly portrays a knight in gleaming silver armor, holding a small, delicate figure, while a menacing witch stands engulfed in a tornado of fierce flames, dagger on chest.",NP,middle,
Anime_Stylization,058,"She has vibrant blonde hair styled in playful double buns, a distinctive school uniform with intricate patterns, and a mischievous expression, accompanied by sharp fangs. The setting is an enchanted classroom, filled with floating books and vibrant colors, depicted in a style that blends elements of abstract expressionism.",NP,middle,abstract expressionism
Anime_Stylization,059,"A cheerful red-haired man with twinkling eyes holds an intricately designed toy dragon, amidst colorful lanterns and streamers, in a bustling festival scene, depicted in the vibrant style of anime.",NP,short,
Anime_Stylization,060,"Two anime-inspired characters on a vintage, cherry-red scooter share a frosty drink and a juicy cheeseburger, blushing under a bustling city overpass, amidst bright neon billboards and street lights.",NP,short,
Anime_Stylization,061,"The entire scene is depicted in LEGO-inspired style: a young man with glasses sits comfortably in a cozy indoor setting. He holds a fluffy gray cat in his arms, surrounded by an array of colorful flowers and a variety of playful toys scattered around his feet.",NP,middle,LEGO
Anime_Stylization,062,"A man with long, flowing white hair and fox ears gently embraces a blue-haired woman in a white silk kimono amidst pink cherry blossoms, depicted in a beautifully detailed anime style.",NP,middle,
Anime_Stylization,063,"A mysterious masked figure with mesmerizing purple eyes and overgrown black hair stands amidst swirling ghostly creatures, their ethereal forms flickering. The figure's intricate costume features ornate patterns. This scene is depicted in a style reminiscent of art nouveau, emphasizing elegance and beauty.",NP,middle,art nouveau
Anime_Stylization,064,"Two characters hold hands; one dressed in a dark outfit with short black hair, the other adorned in elaborate white and red armor. The image unfolds in an artistic blend reminiscent of anime-style storytelling.",NP,middle,
Anime_Stylization,065,"The entire scene is depicted in an anime style with a masked figure in a black dress and gloves, long black hair, green eyes, holding a baton. The dress is adorned with intricate lace patterns, and the gloves are velvet. The figure stands in a moonlit forest, surrounded by towering trees and glistening dew on leaves.",NP,middle,
Anime_Stylization,066,"A character stands confidently with hands on hips, having bright blue eyes and light brown hair styled in soft curls. Her outfit mixes sky-blue hues with crisp white accents, resembling futuristic attire. Neon lights glow in the background, towering skyscrapers and bustling streets below, depicting a vivid Cyberpunk world with an anime-inspired style filled with detail.",NP,middle,Cyberpunk
Anime_Stylization,067,A blue-haired girl with sparkling blue eyes wears a sleek black jacket featuring a penguin-themed hood and shiny leg armor. She's with a curious penguin creature and a mystical floating cat companion. The scene is depicted in pointillism style.,NP,middle,pointillism
Anime_Stylization,068,"In a vibrant animated scene, a boy with spiked brown hair and striking blue eyes holds a key-shaped weapon, smiling brightly. A blonde-haired girl looks away, enhancing the lively atmosphere along with three other characters.",NP,middle,
Anime_Stylization,069,"Against a backdrop of gently floating snowflakes, a group of characters pose together for a vibrant selfie. Their hair colors span a lively spectrum, from fiery red to deep ocean blue, while their eyes sparkle in hues like emerald green and warm amber. With expressions ranging from playful wink to joyful smile, the image beautifully combines the pop art style.",NP,middle,pop art
Anime_Stylization,070,"A woman with white hair styled in a messy ponytail, piercing grey eyes, and bright red lips, confidently clutches a blood-stained sword, her tattered clothes drenched in blood, in a gothic setting depicted with vibrant, animated flair.",NP,middle,
Anime_Stylization,071,"A character with flowing brown hair gently draped by a vivid pink ribbon has a joyful, smiling face. She holds a sparkling microphone surrounded by blooming cherry blossoms, with petals dancing in the breeze. This enchanting scene is painted entirely in crayon style, exuding an interesting touch.",NP,middle,crayon
Anime_Stylization,072,"In a vibrant art style inspired by anime, a character with bright blue hair styled in two cute buns, wearing a striking black and orange outfit, cooks delicious fried rice in a large wok while holding a spoon and displaying captivating orange eyes.",NP,middle,
Anime_Stylization,073,"A character stands dynamically with long flowing blonde hair and a vibrant blue cape, wearing a white shirt, red tie, blue skirt, and black thigh-highs, looking at the viewer with captivating green eyes in an anime-inspired style.",NP,middle,
Anime_Stylization,074,A winter battlefield scene from World War I showcases a soldier in a fur hat aiming a revolver with fierce intent. Snow blankets the hills and artillery. Purple and orange smoke fills the sky with an anime-inspired aesthetic.,NP,middle,
Anime_Stylization,075,"This scene is designed in a distinctly pop art look. Under a vividly painted crimson torii gate, four figures are dressed in elaborately detailed kimono. Each garment is adorned with intricate embroidery, featuring patterns of cherry blossoms and koi fish. Lanterns softly illuminate the scene, casting gentle glows. The traditional Japanese outfits complement the rich cultural ambiance.",NP,middle,pop art
Anime_Stylization,076,"The image is created in Chinese ink painting style. A character in a playful pose stands on one leg, waving with a cheerful smile. He wears a light pink hoodie with contrasting blue pants. His hair is short and tousled, adding a mischievous touch. Friendly eyes gaze at the viewer, giving a warm, inviting feel to the scene.",NP,middle,Chinese ink painting
Anime_Stylization,077,"A cheerful girl with bright blonde hair and captivating pink eyes is surrounded by the intricate patterns of her school uniform. She sits in a serene setting, her radiant smile adding warmth to the scene. The backdrop is a crisp white, adorned with subtle blue patterns. The entire image is beautifully rendered in the distinctive graffiti style.",NP,middle,graffiti
Anime_Stylization,078,"The character has long, multicolored hair with shades of white, purple, and black. He wears a black top hat adorned with a crimson ribbon. His white cape flows elegantly behind him, contrasting with his stylish black tailcoat, both tailored immaculately. Beneath, crisp white pants complete the ensemble. Silver earrings sparkle. This is a Pixar and anime-inspired image where vibrant colors and whimsical styles merge seamlessly.",NP,long,Pixar
Anime_Stylization,079,"Six young wizards dressed in vibrant house uniforms, three wearing stylish glasses, holding leather-bound books and feathered quills, show delighted smiles and shy blushes as they stand in a majestic library filled with ancient magical artifacts. Rendered in comic and anime styles.",NP,middle,comic
Anime_Stylization,080,"An octoling character with dark skin, vibrant purple tentacle hair cascading down her back, and a playful smile shushes mysteriously. She wears fingerless gloves and a crop top, portrayed in a vibrant anime-inspired style.",NP,middle,
